titulo,instagram,coordenadas,horario,menu
81 Coffee & Co.,81coffeeco,"-8.050167670278611, -34.898255859968295","segunda a sexta - 10h às 21h,
sábado e domingo - 9h às 21h,
feriado - 14h às 21h",https://res.cloudinary.com/damhz6skt/image/upload/v1681491999/recife-coffee/2023/81coffeeco_tawzdc.png
A vida é bela,avidaebela.cafe ,"-8.05013240889161, -34.95860768857569",terça a sábado - 14h às 20h30,https://res.cloudinary.com/damhz6skt/image/upload/v1681491999/recife-coffee/2023/a-vida-e-bela_vd27eb.png
Artisano café e cozinha,artisanocafe ,"-8.0515953250438, -34.909794673230785","segunda a quinta - 12h às 20h,
sextas - 12h às 22h,
sábados - 11h às 22h,
domingos 15h às 20h",https://res.cloudinary.com/damhz6skt/image/upload/v1681491952/recife-coffee/2023/artisano_x2xcy4.png
Aurora café,auroracafe.recife ,"-8.061159360596644, -34.87160533275631","terça à sexta - 10h às 18h30,
sábado e domingo - 11h às 19h30",https://res.cloudinary.com/damhz6skt/image/upload/v1681491952/recife-coffee/2023/aurora-cafe_qqzy3v.png
Borsoi Café,borsoicafe,"-8.104291598434111, -34.88756250417415",todos os dias 8h-20h,https://res.cloudinary.com/damhz6skt/image/upload/v1681491952/recife-coffee/2023/borsoi_hmmgta.png
Café com dengo,cafecomdengo ,"-8.03629104822577, -34.899376359739556",segunda a sábado - 11h30 às 20h,https://res.cloudinary.com/damhz6skt/image/upload/v1681491952/recife-coffee/2023/cafe-com-dengo_mr7sgg.png
Café mais prosa,cafemaisprosa ,"-8.043438335364826, -34.8931667597394","segunda a sexta - 14h às 21h,
sábado e domingo - 15h às 21h",https://res.cloudinary.com/damhz6skt/image/upload/v1681491952/recife-coffee/2023/cafe-mais-prosa_fdaru3.png
Casa Mendez,casamendezcafe,"-8.035147653658838, -34.903441473460774","terça a quinta - 10h às 22h,
sexta - 10h às 23h,
sábado - 8h às 23h,
domingo - 8h às 21h",https://res.cloudinary.com/damhz6skt/image/upload/v1681491952/recife-coffee/2023/casa-mendez_aw4ktc.png
Castigliani,castigliani ,"-8.032140369743894, -34.9132939443947",todos os dias - 13h às 20h,https://res.cloudinary.com/damhz6skt/image/upload/v1681491952/recife-coffee/2023/castigliani_eef3ak.png
Celeste Café,celestecafeoficial,"-8.032594868644788, -34.89003535096101","segunda a sexta - 9h às 19h,
sábado - 9h às 16h",https://res.cloudinary.com/damhz6skt/image/upload/v1682449242/recife-coffee/2023/celeste_msdy3f.png
Coffee cube,coffeecubebr ,"-8.036385635893579, -34.90242934835697",todos os dias – 9h às 21h,https://res.cloudinary.com/damhz6skt/image/upload/v1682449243/recife-coffee/2023/coffee-cube-jaqueira_zurxtk.png
Coffee cube,coffeecubebr ,"-8.044271484819038, -34.90773184439447","domingo a quarta - 12h às 22h,
quinta e sábado - 12h às 23h",https://res.cloudinary.com/damhz6skt/image/upload/v1682449243/recife-coffee/2023/coffee-cube-torre_tku6sm.png
Contém café,contem.cafe ,"-8.033988652962014, -34.885913986722095","segunda a sexta - 14h30 às 20h30,
sábados e domingos - 08h às 13h | 15h às 20h30",https://res.cloudinary.com/damhz6skt/image/upload/v1682449243/recife-coffee/2023/contem-cafe_jvdqks.png
Elã - Cafés Especiais,elacafesespeciais,"-8.045671097432797, -34.89838511578878",todos os dias – 10h30 às 19h,https://res.cloudinary.com/damhz6skt/image/upload/v1682449243/recife-coffee/2023/ela_qnistm.png
